Period,Stock,Sales,Net Profit,EPS in Rs,Promoters,FIIs,DIIs,Government,Public
2024-06-01,RELIANCE,231784.0,17445,11.19,50.33%,21.75%,17.30%,0.19%,10.43%
2024-06-01,SAIL,23998.0,82,0.2,65.00%,3.01%,15.72%,0.00%,16.27%
2024-06-01,SKIPPER,1092.0,32,2.87,66.48%,3.64%,0.24%,,29.65%
2024-06-01,SUZLON,2022.0,302,0.22,13.26%,21.53%,9.16%,0.00%,56.03%
2024-06-01,TATAMOTORS,108048.0,5692,16.74,46.36%,18.18%,15.93%,0.14%,19.39%
2024-06-01,VEDL,35764.0,5095,9.7,59.31%,10.23%,14.78%,0.07%,15.41%
2024-06-01,YESBANK,7725.0,516,0.16,,27.08%,38.10%,0.01%,34.82%
2024-06-01,ZYDUSLIFE,6208.0,1482,14.11,74.98%,5.59%,12.56%,0.07%,6.81%
2024-09-01,ADANIGREEN,3055.0,515,1.74,60.93%,15.16%,1.45%,,22.45%
2024-09-01,ADANIPORTS,7067.0,2413,11.32,65.89%,15.22%,13.26%,0.00%,5.62%
2024-09-01,BEL,4605.0,1093,1.49,51.14%,17.27%,20.22%,,11.37%
2024-09-01,BHEL,6584.0,106,0.3,63.17%,9.48%,14.69%,,12.66%
2024-09-01,CDSL,322.0,162,7.75,15.00%,13.77%,21.57%,,49.66%
2024-09-01,CIPLA,7051.0,1305,16.13,30.93%,28.80%,23.95%,0.21%,16.11%
2024-09-01,DRREDDY,8038.0,1342,15.05,26.64%,27.53%,21.48%,,24.20%
2024-09-01,EXIDEIND,4450.0,233,2.72,45.99%,12.31%,17.96%,,23.73%
2024-09-01,HAL,5976.0,1510,22.59,71.64%,11.85%,8.37%,0.00%,8.13%
2024-09-01,HINDZINC,8252.0,2327,5.51,63.42%,1.01%,3.12%,29.54%,2.92%
2024-09-01,IDEA,10932.0,-7176,-1.03,37.32%,12.69%,4.86%,23.18%,21.94%
2024-09-01,JIOFIN,694.0,689,1.08,47.12%,16.88%,11.39%,0.15%,24.46%
2024-09-01,JMFINANCIL,1191.0,144,2.43,56.43%,15.31%,8.57%,,19.70%
2024-09-01,KAYNES,572.0,60,9.41,57.75%,14.92%,16.07%,,11.25%
2024-09-01,KOLTEPATIL,308.0,10,1.28,69.45%,3.13%,5.19%,,22.24%
2024-09-01,KOTAKBANK,16427.0,5044,25.37,25.88%,33.39%,27.88%,,12.84%
